            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2451285.717662778, A.D. 1999-Apr-17 05:13:26.0640, -2.553740932285618E+09,  2.453369338661298E+09, -1.106107539694602E+09, -2.225987362455794E+00,  3.921145309828781E+00, -1.259775125311719E+00,
2451395.313518750, A.D. 1999-Aug-04 19:31:28.0200, -2.574523613362340E+09,  2.490214539229894E+09, -1.117908386320366E+09, -2.163867592656725E+00,  3.861256798197091E+00, -1.232830511527998E+00,
2451504.909374722, A.D. 1999-Nov-22 09:49:29.9760, -2.594725543432555E+09,  2.526497969205966E+09, -1.129457021537057E+09, -2.103310590434073E+00,  3.802482471479245E+00, -1.206499192537373E+00,
2451614.505230695, A.D. 2000-Mar-11 00:07:31.9320, -2.614361126989500E+09,  2.562229923465671E+09, -1.140759102105891E+09, -2.044234254760610E+00,  3.744768941804558E+00, -1.180749726235532E+00,
2451724.101086667, A.D. 2000-Jun-28 14:25:33.8880, -2.633444018927516E+09,  2.597420206866800E+09, -1.151819997054593E+09, -1.986562277296867E+00,  3.688066050136558E+00, -1.155552751630789E+00,
2451833.696942639, A.D. 2000-Oct-16 04:43:35.8440, -2.651987177090347E+09,  2.632078163482346E+09, -1.162644806556499E+09, -1.930223667570763E+00,  3.632326587257354E+00, -1.130880818087848E+00,
2451943.292798611, A.D. 2001-Feb-02 19:01:37.8000, -2.670002910681430E+09,  2.666212703399693E+09, -1.173238379355048E+09, -1.875152349502084E+00,  3.577506064418802E+00, -1.106708249792562E+00,
2452052.888654583, A.D. 2001-May-23 09:19:39.7560, -2.687502925046628E+09,  2.699832327534904E+09, -1.183605329003869E+09, -1.821286801736160E+00,  3.523562520085147E+00, -1.083011031403138E+00,
2452162.484510555, A.D. 2001-Sep-09 23:37:41.7120, -2.704498363266660E+09,  2.732945150860713E+09, -1.193750049164262E+09, -1.768569734275036E+00,  3.470456377318966E+00, -1.059766719582244E+00,
2452272.080366528, A.D. 2001-Dec-28 13:55:43.6680, -2.720999844766691E+09,  2.765558924436762E+09, -1.203676728121307E+09, -1.716947783011709E+00,  3.418150336290481E+00, -1.036954368191878E+00,
2452381.676222500, A.D. 2002-Apr-17 04:13:45.6240, -2.737017500995605E+09,  2.797681056587806E+09, -1.213389362609849E+09, -1.666371191569249E+00,  3.366609292667860E+00, -1.014554451778426E+00,
2452491.272078472, A.D. 2002-Aug-04 18:31:47.5800, -2.752561008058342E+09,  2.829318633338683E+09, -1.222891770877148E+09, -1.616793483714734E+00,  3.315800263764005E+00, -9.925487804265605E-01,
2452600.867934444, A.D. 2002-Nov-22 08:49:49.5360, -2.767639616130658E+09,  2.860478438067855E+09, -1.232187604819689E+09, -1.568171116775694E+00,  3.265692291051270E+00, -9.709203887895050E-01,
2452710.463790417, A.D. 2003-Mar-11 23:07:51.4920, -2.782262175603829E+09,  2.891166970096327E+09, -1.241280360971990E+09, -1.520463136721031E+00,  3.216256308788721E+00, -9.496534027603867E-01,
2452820.059646389, A.D. 2003-Jun-29 13:25:53.4480, -2.796437160092045E+09,  2.921390461777061E+09, -1.250173390140529E+09, -1.473630870291560E+00,  3.167464963978561E+00, -9.287328928399009E-01,
2452929.655502361, A.D. 2003-Oct-17 03:43:55.4040, -2.810172686779469E+09,  2.951154893759364E+09, -1.258869905669911E+09, -1.427637672524566E+00,  3.119292410153870E+00, -9.081447326993999E-01,
2453039.251358334, A.D. 2004-Feb-03 18:01:57.3600, -2.823476534741382E+09,  2.980466008275584E+09, -1.267372990485809E+09, -1.382448749973328E+00,  3.071714104706587E+00, -8.878754857003872E-01,
2453148.847214306, A.D. 2004-May-23 08:19:59.3160, -2.836356161870783E+09,  3.009329320605490E+09, -1.275685603205590E+09, -1.338031044351483E+00,  3.024706629184805E+00, -8.679123232175595E-01,
2453258.443070278, A.D. 2004-Sep-09 22:38:01.2720, -2.848818720946377E+09,  3.037750129081734E+09, -1.283810583665859E+09, -1.294353158523513E+00,  2.978247561312052E+00, -8.482429798459543E-01,
2453368.038926250, A.D. 2004-Dec-28 12:56:03.2280, -2.860871075091621E+09,  3.065733524079211E+09, -1.291750658136160E+09, -1.251385301500427E+00,  2.932315390367998E+00, -8.288557323854584E-01,
2453477.634782222, A.D. 2005-Apr-17 03:14:05.1840, -2.872519812701090E+09,  3.093284396399060E+09, -1.299508444400073E+09, -1.209099228002660E+00,  2.886889467491602E+00, -8.097393889727968E-01,
2453587.230638194, A.D. 2005-Aug-04 17:32:07.1400, -2.883771261787551E+09,  3.120407445294281E+09, -1.307086456762906E+09, -1.167468174169978E+00,  2.841949981019519E+00, -7.908832839695064E-01,
2453696.826494167, A.D. 2005-Nov-22 07:50:09.0960, -2.894631503638402E+09,  3.147107186300281E+09, -1.314487110980713E+09, -1.126466779402026E+00,  2.797477936488703E+00, -7.722772663378934E-01,
2453806.422350139, A.D. 2006-Mar-11 22:08:11.0520, -2.905106385708247E+09,  3.173387958903381E+09, -1.321712729066443E+09, -1.086071000333457E+00,  2.753455140083579E+00, -7.539116833792280E-01,
2453916.018206111, A.D. 2006-Jun-29 12:26:13.0080, -2.915201533684583E+09,  3.199253934006206E+09, -1.328765543906264E+09, -1.046258025826366E+00,  2.709864175379412E+00, -7.357773595726931E-01,
2454025.614062083, A.D. 2006-Oct-17 02:44:14.9640, -2.924922362734921E+09,  3.224709121169027E+09, -1.335647703658082E+09, -1.007006188528761E+00,  2.666688375193957E+00, -7.178655699478482E-01,
2454135.209918056, A.D. 2007-Feb-03 17:02:16.9200, -2.934274087956386E+09,  3.249757375554847E+09, -1.342361275892669E+09, -9.682948841330168E-01,  2.623911790263564E+00, -7.001680134394130E-01,
2454244.805774028, A.D. 2007-May-24 07:20:18.8760, -2.943261734067209E+09,  3.274402404546457E+09, -1.348908251466419E+09, -9.301044951954548E-01,  2.581519150879278E+00, -6.826767839106527E-01,
2454354.401630000, A.D. 2007-Sep-10 21:38:20.8320, -2.951890144420904E+09,  3.298647774020156E+09, -1.355290548139740E+09, -8.924163205735282E-01,  2.539495831603625E+00, -6.653843436290849E-01,
2454463.997485972, A.D. 2007-Dec-29 11:56:22.7880, -2.960163989378283E+09,  3.322496914257344E+09, -1.361510013938835E+09, -8.552125129339575E-01,  2.497827813009065E+00, -6.482834977578077E-01,
2454573.593341944, A.D. 2008-Apr-17 02:14:24.7440, -2.968087774101341E+09,  3.345953125510755E+09, -1.367568430285475E+09, -8.184760184717178E-01,  2.456501644011977E+00, -6.313673694350851E-01,
2454683.189197917, A.D. 2008-Aug-04 16:32:26.7000, -2.975665845821473E+09,  3.369019583223531E+09, -1.373467514908664E+09, -7.821905243451138E-01,  2.415504408700359E+00, -6.146293789475989E-01,
2454792.785053889, A.D. 2008-Nov-22 06:50:28.6560, -2.982902400602528E+09,  3.391699342924984E+09, -1.379208924550024E+09, -7.463404074070892E-01,  2.374823690240956E+00, -5.980632216463406E-01,
